"","Nombre","Precio","Oferta","Opiniones","Marca","Ancho","Alto","Peso","Color"
"188","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
"189","Cafetera","$15.900",NA,"(Sin Calificaciones)","NEW CLASSIC TOYS","19.5","21","1.1","-1"
"190","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","$74.990",NA,"(3 Calificaciones)","NESCAFE","-1","-1","2.6","Blanco"
"191","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","$99.990",NA,"(6 Calificaciones)","NESPRESSO","12","-1","-1","Negro"
"192","CAFETERA FRENCH PRESS LE幾PRESS","$14.990",NA,"(Sin Calificaciones)","KITCHEN CRAFT","11.6","20.8","-1","-1"
"193","CAFETERA ULTRA TOYS AQUA RP","$9.990"," $8.390","(Sin Calificaciones)","ULTRA TOYS","20.1","13.4","0.725","Celeste"
"194","CAFETERA NESCAFE DOLCE GUSTO JOVIA","$49.990"," $39.990","(59 Calificaciones)","NESTLE","26","43","3","Blanco"
"195","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","$189.990",NA,"(Sin Calificaciones)","NESPRESSO","23","27.7","No Aplica","Silver"
"196","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","$129.990",NA,"(2 Calificaciones)","DELONGHI","26","31.5","4.1","Celeste"
"197","CAFETERA OSTER DRIP 5B","$11.990",NA,"(4 Calificaciones)","OSTER","-1","-1","-1","Negro"
"198","CAFETERA RIPLEY HOME VALCAT 1 LT","$5.990"," $4.990","(Sin Calificaciones)","RIPLEY HOME","-1","-1","-1","-1"
"199","CAFETERA KENWOOD PICASSO COX750 ROJO","$59.990",NA,"(Sin Calificaciones)","KENWOOD","19","32","2.59","Rojo"
"200","CAFETERA NESCAFE DOLCE GUSTO MINI ME","$74.990",NA,"(1 Calificaciones)","NESTLE","16","24.2","2.23","Rojo"
"201","CAFETERA DELONGHI MOKA ALICIA EMK4","$59.990",NA,"(2 Calificaciones)","DELONGHI","12.7","21.9","1","Gris"
"202","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Blanco"
"203","CAFETERA OSTER PRIMALATTE COBRE","$89.990"," $79.990","(9 Calificaciones)","OSTER","-1","-1","-1","Cobre"
"204","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"205","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Negro"
"206","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","$89.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"207","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","$69.990"," $59.990","(6 Calificaciones)","NESCAFE","25","32","2.4","Rojo"
"208","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","$4.890",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"209","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","$6.290",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"210","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","$3.990",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"211","CAFETERA","$43.900",NA,"(Sin Calificaciones)","CUNCUNA","21","24,2","0,95","-1"
"212","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
"213","Cafetera","$15.900",NA,"(Sin Calificaciones)","NEW CLASSIC TOYS","19.5","21","1.1","-1"
"214","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","$74.990",NA,"(3 Calificaciones)","NESCAFE","-1","-1","2.6","Blanco"
"215","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","$99.990",NA,"(6 Calificaciones)","NESPRESSO","12","-1","-1","Negro"
"216","CAFETERA FRENCH PRESS LE幾PRESS","$14.990",NA,"(Sin Calificaciones)","KITCHEN CRAFT","11.6","20.8","-1","-1"
"217","CAFETERA ULTRA TOYS AQUA RP","$9.990"," $8.390","(Sin Calificaciones)","ULTRA TOYS","20.1","13.4","0.725","Celeste"
"218","CAFETERA NESCAFE DOLCE GUSTO JOVIA","$49.990"," $39.990","(59 Calificaciones)","NESTLE","26","43","3","Blanco"
"219","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","$189.990",NA,"(Sin Calificaciones)","NESPRESSO","23","27.7","No Aplica","Silver"
"220","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","$129.990",NA,"(2 Calificaciones)","DELONGHI","26","31.5","4.1","Celeste"
"221","CAFETERA OSTER DRIP 5B","$11.990",NA,"(4 Calificaciones)","OSTER","-1","-1","-1","Negro"
"222","CAFETERA RIPLEY HOME VALCAT 1 LT","$5.990"," $4.990","(Sin Calificaciones)","RIPLEY HOME","-1","-1","-1","-1"
"223","CAFETERA KENWOOD PICASSO COX750 ROJO","$59.990",NA,"(Sin Calificaciones)","KENWOOD","19","32","2.59","Rojo"
"224","CAFETERA NESCAFE DOLCE GUSTO MINI ME","$74.990",NA,"(1 Calificaciones)","NESTLE","16","24.2","2.23","Rojo"
"225","CAFETERA DELONGHI MOKA ALICIA EMK4","$59.990",NA,"(2 Calificaciones)","DELONGHI","12.7","21.9","1","Gris"
"226","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Blanco"
"227","CAFETERA OSTER PRIMALATTE COBRE","$89.990"," $79.990","(9 Calificaciones)","OSTER","-1","-1","-1","Cobre"
"228","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"229","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Negro"
"230","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","$89.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"231","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","$69.990"," $59.990","(6 Calificaciones)","NESCAFE","25","32","2.4","Rojo"
"232","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","$4.890",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"233","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","$6.290",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"234","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","$3.990",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"235","CAFETERA","$43.900",NA,"(Sin Calificaciones)","CUNCUNA","21","24,2","0,95","-1"
"236","CAFETERA","$20.100",NA,"(Sin Calificaciones)","CUNCUNA","10","23,8","0,55","-1"
"237","Cafetera","$15.900",NA,"(Sin Calificaciones)","NEW CLASSIC TOYS","19.5","21","1.1","-1"
"238","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","$74.990",NA,"(3 Calificaciones)","NESCAFE","-1","-1","2.6","Blanco"
"239","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","$99.990",NA,"(6 Calificaciones)","NESPRESSO","12","-1","-1","Negro"
"240","CAFETERA FRENCH PRESS LE幾PRESS","$14.990",NA,"(Sin Calificaciones)","KITCHEN CRAFT","11.6","20.8","-1","-1"
